iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
133439,slr,380489.3333788401,NA,NA,NA,NA,NA
133439,sst,380489.3333788401,366102.52689659514,333601.87967120693,330344.6542886066,0,0
133441,art_fish,560426.1476937396,384450.39876153105,354874.26835948805,0,0,0
133441,cum_all,560426.1476937396,559402.6977910092,537847.3757138347,492468.8993720012,105.66334336119763,105.66334336119763
133441,cum_climate,560426.1476937396,553497.7760681515,520281.0632228564,501011.9117094071,0,0
133441,cum_fishing,560426.1476937396,384450.39876153105,354874.26835948805,0,0,0
133441,cum_land-based,560426.1476937396,119134.10979626967,20404.37754755362,0,87.32507546639602,0
133441,cum_ocean,560426.1476937396,247649.55252186887,139250.31450710385,5677.876508538189,3303.507670865584,2184.8734332001145
133441,dem_dest,560426.1476937396,NA,NA,NA,NA,NA
133441,dem_nondest_hb,560426.1476937396,NA,NA,NA,NA,NA
133441,dem_nondest_lb,560426.1476937396,NA,NA,NA,NA,NA
133441,direct_human,560426.1476937396,119134.10979626967,20404.37754755362,0,87.32507546639602,0
133441,light,560426.1476937396,NA,NA,NA,NA,NA
133441,nutrient,560426.1476937396,NA,NA,NA,NA,NA
133441,oa,560426.1476937396,452264.4338434634,286419.26706143847,0,0,0
133441,organic,560426.1476937396,NA,NA,NA,NA,NA
133441,pel_hb,560426.1476937396,NA,NA,NA,NA,NA
133441,pel_lb,560426.1476937396,NA,NA,NA,NA,NA
133441,shipping,560426.1476937396,247649.55252186887,139250.31450710385,5677.876508538189,3303.507670865584,2184.8734332001145
133441,slr,560426.1476937396,NA,NA,NA,NA,NA
133441,sst,560426.1476937396,538514.5393667812,510491.922096963,501011.9117094071,0,0
133443,art_fish,4786089.251648243,1727058.6150075542,843568.1046832175,8119.485673371448,30039.826538284116,138.8468679447112
133443,cum_all,4786089.251648243,4583178.955865645,4162957.5856617875,3330986.2511859057,31283.33562583655,5415.901285288014
133443,cum_climate,4786089.251648243,4105744.8150086496,4021934.5721741826,3453604.6316276095,132.73411722813233,132.73411722813233
133443,cum_fishing,4786089.251648243,1727058.6150075542,843568.1046832175,8119.485673371448,30039.826538284116,138.8468679447112
133443,cum_land-based,4786089.251648243,422261.2842933443,46181.86708641017,0,7550.1261914073875,0
133443,cum_ocean,4786089.251648243,3380342.384665932,2492262.0684995856,422422.83529405406,123579.82943173994,40596.55513609881
133443,dem_dest,4786089.251648243,NA,NA,NA,NA,NA
133443,dem_nondest_hb,4786089.251648243,NA,NA,NA,NA,NA
133443,dem_nondest_lb,4786089.251648243,NA,NA,NA,NA,NA
133443,direct_human,4786089.251648243,422261.2842933443,46181.86708641017,0,7550.1261914073875,0
133443,light,4786089.251648243,NA,NA,NA,NA,NA
133443,nutrient,4786089.251648243,NA,NA,NA,NA,NA
133443,oa,4786089.251648243,3194144.3625435173,2918315.8808328738,177369.4572303157,0,0
133443,organic,4786089.251648243,NA,NA,NA,NA,NA
133443,pel_hb,4786089.251648243,NA,NA,NA,NA,NA
133443,pel_lb,4786089.251648243,NA,NA,NA,NA,NA
133443,shipping,4786089.251648243,3380342.384665932,2492262.0684995856,422422.83529405406,123579.82943173994,40596.55513609881
133443,slr,4786089.251648243,NA,NA,NA,NA,NA
133443,sst,4786089.251648243,3828354.0876383567,3665837.7527099457,3438742.776750651,3449.3405801165527,2329.8330833515347
133445,art_fish,653884.9383408757,424489.8198722255,141560.93609308143,0,38931.265901136496,105.66334336119763
133445,cum_all,653884.9383408757,648287.4008948387,309487.9327199057,146395.2523587586,67036.84200130762,21041.85059501408
